Liczba losowan: 10000, Oszacowanie wartosci calki: 1.5638, Czas obliczen [s]: 0.000942
Liczba losowan: 100000, Oszacowanie wartosci calki: 1.5760, Czas obliczen [s]: 0.007202
Liczba losowan: 1000000, Oszacowanie wartosci calki: 1.5699, Czas obliczen [s]: 0.069161
Liczba losowan: 10000000, Oszacowanie wartosci calki: 1.5709, Czas obliczen [s]: 0.557889
Liczba losowan: 100000000, Oszacowanie wartosci calki: 1.5707, Czas obliczen [s]: 5.041010
Liczba losowan: 1000, Oszacowanie wartosci calki: 1.6258, Czas obliczen [s]: 0.000050
Liczba losowan: 1000, Oszacowanie wartosci calki: 1.5290, Czas obliczen [s]: 0.000067
Liczba losowan: 1000000, Oszacowanie wartosci calki: 1.5706, Czas obliczen [s]: 0.060960
Liczba losowan: 100000000, Oszacowanie wartosci calki: 1.5709, Czas obliczen [s]: 5.068628
Liczba losowan: 10, Oszacowanie wartosci calki: 1.5400, Czas obliczen [s]: 0.000023
Liczba losowan: 100, Oszacowanie wartosci calki: 1.6500, Czas obliczen [s]: 0.000028
